iter	Passed	Remaining
876	23858	3346
877	23884	3318
878	23908	3291
879	23929	3263
880	23952	3235
881	23977	3207
882	24005	3180
883	24043	3155
884	24069	3127
885	24099	3100
886	24124	3073
887	24149	3045
888	24186	3019
889	24209	2992
890	24233	2964
891	24257	2936
892	24281	2909
893	24305	2881
894	24334	2854
895	24364	2828
896	24390	2800
897	24414	2773
898	24439	2745
899	24463	2718
900	24485	2690
901	24520	2664
902	24545	2636
903	24566	2608
904	24588	2581
905	24610	2553
906	24633	2525
907	24654	2498
908	24684	2471
909	24715	2444
910	24742	2417
911	24768	2389
912	24794	2362
913	24817	2335
914	24844	2307
915	24878	2281
916	24903	2254
917	24929	2226
918	24958	2199
919	24983	2172
920	25026	2146
921	25063	2120
922	25090	2093
923	25120	2066
924	25148	2039
925	25176	2011
926	25214	1985
927	25244	1958
928	25268	1931
929	25293	1903
930	25316	1876
931	25339	1848
932	25374	1822
933	25402	1795
934	25425	1767
935	25451	1740
936	25474	1712
937	25499	1685
938	25527	1658
939	25556	1631
940	25580	1603
941	25602	1576
942	25626	1549
943	25650	1521
944	25671	1494
945	25695	1466
946	25715	1439
947	25748	1412
948	25771	1385
949	25796	1357
950	25819	1330
951	25846	1303
952	25872	1275
953	25902	1248
954	25927	1221
955	25951	1194
956	25983	1167
957	26011	1140
958	26038	1113
959	26068	1086
960	26104	1059
961	26127	1032
962	26150	1004
963	26175	977
964	26201	950
965	26230	923
966	26271	896
967	26306	869
968	26335	842
969	26362	815
970	26392	788
971	26420	761
972	26444	733
973	26468	706
974	26492	679
975	26520	652
976	26545	624
977	26582	597
978	26607	570
979	26631	543
980	26656	516
981	26681	489
982	26703	461
983	26826	436
984	26892	409
985	26937	382
986	26973	355
987	27006	328
988	27036	300
989	27065	273
990	27090	246
991	27120	218
992	27149	191
993	27175	164
994	27202	136
995	27232	109
996	27257	82
997	27290	54
998	27322	27
999	27345	0
